fixture_id,team,stat_type,value
1035037,Burnley,Shots on Goal,1
1035037,Burnley,Shots off Goal,3
1035037,Burnley,Total Shots,6
1035037,Burnley,Blocked Shots,2
1035037,Burnley,Shots insidebox,5
1035037,Burnley,Shots outsidebox,1
1035037,Burnley,Fouls,11
1035037,Burnley,Corner Kicks,6
1035037,Burnley,Offsides,0
1035037,Burnley,Ball Possession,34%
1035037,Burnley,Yellow Cards,
1035037,Burnley,Red Cards,1
1035037,Burnley,Goalkeeper Saves,5
1035037,Burnley,Total passes,365
1035037,Burnley,Passes accurate,290
1035037,Burnley,Passes %,79%
1035037,Burnley,expected_goals,0.33
1035037,Manchester City,Shots on Goal,8
1035037,Manchester City,Shots off Goal,4
1035037,Manchester City,Total Shots,17
1035037,Manchester City,Blocked Shots,5
1035037,Manchester City,Shots insidebox,14
1035037,Manchester City,Shots outsidebox,3
1035037,Manchester City,Fouls,8
1035037,Manchester City,Corner Kicks,5
1035037,Manchester City,Offsides,1
1035037,Manchester City,Ball Possession,66%
1035037,Manchester City,Yellow Cards,
1035037,Manchester City,Red Cards,0
1035037,Manchester City,Goalkeeper Saves,1
1035037,Manchester City,Total passes,706
1035037,Manchester City,Passes accurate,634
1035037,Manchester City,Passes %,90%
1035037,Manchester City,expected_goals,2.08
1035038,Arsenal,Shots on Goal,7
1035038,Arsenal,Shots off Goal,3
1035038,Arsenal,Total Shots,15
1035038,Arsenal,Blocked Shots,5
1035038,Arsenal,Shots insidebox,8
1035038,Arsenal,Shots outsidebox,7
1035038,Arsenal,Fouls,12
1035038,Arsenal,Corner Kicks,8
1035038,Arsenal,Offsides,2
1035038,Arsenal,Ball Possession,78%
1035038,Arsenal,Yellow Cards,2
1035038,Arsenal,Red Cards,
1035038,Arsenal,Goalkeeper Saves,1
1035038,Arsenal,Total passes,769
1035038,Arsenal,Passes accurate,693
1035038,Arsenal,Passes %,90%
1035038,Arsenal,expected_goals,0.83
1035038,Nottingham Forest,Shots on Goal,2
1035038,Nottingham Forest,Shots off Goal,3
1035038,Nottingham Forest,Total Shots,6
1035038,Nottingham Forest,Blocked Shots,1
1035038,Nottingham Forest,Shots insidebox,4
1035038,Nottingham Forest,Shots outsidebox,2
1035038,Nottingham Forest,Fouls,12
1035038,Nottingham Forest,Corner Kicks,3
1035038,Nottingham Forest,Offsides,1
1035038,Nottingham Forest,Ball Possession,22%
1035038,Nottingham Forest,Yellow Cards,2
1035038,Nottingham Forest,Red Cards,
1035038,Nottingham Forest,Goalkeeper Saves,5
1035038,Nottingham Forest,Total passes,200
1035038,Nottingham Forest,Passes accurate,137
1035038,Nottingham Forest,Passes %,69%
1035038,Nottingham Forest,expected_goals,1.18
1035039,Bournemouth,Shots on Goal,5
1035039,Bournemouth,Shots off Goal,6
1035039,Bournemouth,Total Shots,14
1035039,Bournemouth,Blocked Shots,3
1035039,Bournemouth,Shots insidebox,5
1035039,Bournemouth,Shots outsidebox,9
1035039,Bournemouth,Fouls,9
1035039,Bournemouth,Corner Kicks,10
1035039,Bournemouth,Offsides,0
1035039,Bournemouth,Ball Possession,63%
1035039,Bournemouth,Yellow Cards,1
1035039,Bournemouth,Red Cards,
1035039,Bournemouth,Goalkeeper Saves,1
1035039,Bournemouth,Total passes,517
1035039,Bournemouth,Passes accurate,423
1035039,Bournemouth,Passes %,82%
1035039,Bournemouth,expected_goals,1.37
1035039,West Ham,Shots on Goal,3
1035039,West Ham,Shots off Goal,9
1035039,West Ham,Total Shots,16
1035039,West Ham,Blocked Shots,4
1035039,West Ham,Shots insidebox,12
1035039,West Ham,Shots outsidebox,4
1035039,West Ham,Fouls,14
1035039,West Ham,Corner Kicks,4
1035039,West Ham,Offsides,2
1035039,West Ham,Ball Possession,37%
1035039,West Ham,Yellow Cards,4
1035039,West Ham,Red Cards,
1035039,West Ham,Goalkeeper Saves,4
1035039,West Ham,Total passes,304
1035039,West Ham,Passes accurate,206
1035039,West Ham,Passes %,68%
1035039,West Ham,expected_goals,1.07
1035041,Everton,Shots on Goal,9
1035041,Everton,Shots off Goal,6
1035041,Everton,Total Shots,19
1035041,Everton,Blocked Shots,4
1035041,Everton,Shots insidebox,14
1035041,Everton,Shots outsidebox,5
1035041,Everton,Fouls,12
1035041,Everton,Corner Kicks,10
1035041,Everton,Offsides,6
1035041,Everton,Ball Possession,41%
1035041,Everton,Yellow Cards,0
1035041,Everton,Red Cards,
1035041,Everton,Goalkeeper Saves,1
1035041,Everton,Total passes,366
1035041,Everton,Passes accurate,288
1035041,Everton,Passes %,79%
1035041,Everton,expected_goals,2.73
1035041,Fulham,Shots on Goal,2
1035041,Fulham,Shots off Goal,6
1035041,Fulham,Total Shots,9
1035041,Fulham,Blocked Shots,1
1035041,Fulham,Shots insidebox,6
1035041,Fulham,Shots outsidebox,3
1035041,Fulham,Fouls,6
1035041,Fulham,Corner Kicks,4
1035041,Fulham,Offsides,3
1035041,Fulham,Ball Possession,59%
1035041,Fulham,Yellow Cards,2
1035041,Fulham,Red Cards,
1035041,Fulham,Goalkeeper Saves,9
1035041,Fulham,Total passes,556
1035041,Fulham,Passes accurate,470
1035041,Fulham,Passes %,85%
1035041,Fulham,expected_goals,1.50
1035040,Brighton,Shots on Goal,12
1035040,Brighton,Shots off Goal,10
1035040,Brighton,Total Shots,27
1035040,Brighton,Blocked Shots,5
1035040,Brighton,Shots insidebox,20
1035040,Brighton,Shots outsidebox,7
1035040,Brighton,Fouls,11
1035040,Brighton,Corner Kicks,6
1035040,Brighton,Offsides,2
1035040,Brighton,Ball Possession,71%
1035040,Brighton,Yellow Cards,2
1035040,Brighton,Red Cards,
1035040,Brighton,Goalkeeper Saves,2
1035040,Brighton,Total passes,605
1035040,Brighton,Passes accurate,551
1035040,Brighton,Passes %,91%
1035040,Brighton,expected_goals,4.01
1035040,Luton,Shots on Goal,3
1035040,Luton,Shots off Goal,4
1035040,Luton,Total Shots,9
1035040,Luton,Blocked Shots,2
1035040,Luton,Shots insidebox,7
1035040,Luton,Shots outsidebox,2
1035040,Luton,Fouls,12
1035040,Luton,Corner Kicks,7
1035040,Luton,Offsides,3
1035040,Luton,Ball Possession,29%
1035040,Luton,Yellow Cards,2
1035040,Luton,Red Cards,
1035040,Luton,Goalkeeper Saves,8
1035040,Luton,Total passes,234
1035040,Luton,Passes accurate,168
1035040,Luton,Passes %,72%
1035040,Luton,expected_goals,1.48
1035042,Sheffield Utd,Shots on Goal,1
1035042,Sheffield Utd,Shots off Goal,4
1035042,Sheffield Utd,Total Shots,8
1035042,Sheffield Utd,Blocked Shots,3
1035042,Sheffield Utd,Shots insidebox,4
1035042,Sheffield Utd,Shots outsidebox,4
1035042,Sheffield Utd,Fouls,18
1035042,Sheffield Utd,Corner Kicks,5
1035042,Sheffield Utd,Offsides,2
1035042,Sheffield Utd,Ball Possession,32%
1035042,Sheffield Utd,Yellow Cards,3
1035042,Sheffield Utd,Red Cards,
1035042,Sheffield Utd,Goalkeeper Saves,7
1035042,Sheffield Utd,Total passes,262
1035042,Sheffield Utd,Passes accurate,162
1035042,Sheffield Utd,Passes %,62%
1035042,Sheffield Utd,expected_goals,0.51
1035042,Crystal Palace,Shots on Goal,8
1035042,Crystal Palace,Shots off Goal,8
1035042,Crystal Palace,Total Shots,24
1035042,Crystal Palace,Blocked Shots,8
1035042,Crystal Palace,Shots insidebox,17
1035042,Crystal Palace,Shots outsidebox,7
1035042,Crystal Palace,Fouls,11
1035042,Crystal Palace,Corner Kicks,5
1035042,Crystal Palace,Offsides,2
1035042,Crystal Palace,Ball Possession,68%
1035042,Crystal Palace,Yellow Cards,0
1035042,Crystal Palace,Red Cards,
1035042,Crystal Palace,Goalkeeper Saves,1
1035042,Crystal Palace,Total passes,562
